Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Platform freelancer,Platform freelancer1,Prediction,Probability
41-45,Middle,Jawa Barat,Laki-Laki,Mahasiswa/pelajar,Ya,Berbasis layanan,Kurang dari Rp750 juta,Lebih dari Rp150.000.000,Tidak,Tidak,11-20,Ya,Tidak menentu,Desain logo,NA,NA,Sribu,Sribu,1,1,0.8033333333333333
25-30,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Tidak,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.08
36-40,Middle,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Other,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tahunan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.06
36-40,Lower,DKI Jakarta,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.14333333333333334
31-35,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.07
31-35,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.06
25-30,Middle,Bali,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.05
41-45,Lower,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,11-20,Ya,Mingguan,Pengembangan website,NA,NA,Upwork,Other,0,0,0.13333333333333333
31-35,Upper,Jawa Timur,Perempuan,Bekerja paruh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Bulanan,Pengembangan website,NA,NA,Fastwork,Other,0,0,0.12
25-30,Middle,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.07333333333333333
36-40,Upper,Sulawesi Selatan,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,N/A,Tidak ada,0,0,0.08666666666666667
25-30,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Tidak,Ya,6-10,Ya,Mingguan,Layanan SEO,NA,NA,Sribu,Sribu,1,1,0.89
31-35,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Tahunan,Penulisan konten,NA,NA,Upwork,Other,0,0,0.11333333333333333
25-30,Upper,Jawa Timur,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Triwulanan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.10333333333333333
31-35,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Lebih dari Rp15 miliar,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.15
36-40,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Tidak,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.16333333333333333
25-30,Middle,Jawa Timur,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Mingguan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.05
36-40,Upper,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,11-20,Ya,Mingguan,Pengembangan website,NA,NA,Fiverr,Other,0,0,0.06666666666666667
36-40,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Triwulanan,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.8633333333333333
41-45,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.07
25-30,Upper,Riau,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,6-10,Ya,Triwulanan,Desain logo,NA,NA,Project.co.id,Other,0,0,0.16
31-35,Middle,Jawa Timur,Perempuan,Tidak bekerja,Tidak,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.08333333333333333
36-40,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Kebutuhan tenaga yang mendesak,N/A,Other,0,0,0.09
41-45,Upper,Sumatera Utara,Laki-Laki,Mahasiswa/pelajar,Ya,Manufaktur,Kurang dari Rp750 juta,Rp75.000.000 - Rp150.000.000,Ya,Ya,21-50,Ya,Triwulanan,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.16333333333333333
36-40,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,6-10,Ya,Mingguan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.91
25-30,Upper,Jawa Tengah,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,51-100,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.89
25-30,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Bulanan,Manajemen media sosial,NA,NA,Fiverr,Other,0,0,0.29
31-35,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Apabila dirasa sudah membutuhkan,N/A,Tidak ada,0,0,0.06666666666666667
25-30,Middle,DKI Jakarta,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.19333333333333333
31-35,Upper,Banten,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,51-100,Ya,Tahunan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.10666666666666667
36-40,Upper,Banten,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,11-20,Ya,Harian,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.07
25-30,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Mingguan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.09333333333333334
41-45,Upper,Kalimantan Selatan,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Tidak menentu,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.06333333333333334
25-30,Middle,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tidak menentu,Desain logo,NA,NA,Project.co.id,Other,0,0,0.17666666666666667
31-35,Upper,Banten,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.13666666666666666
36-40,Middle,Jawa Tengah,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Mingguan,Penulisan konten,NA,NA,Fiverr,Other,0,0,0.07333333333333333
25-30,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Mingguan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.93
25-30,Middle,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Tidak,21-50,Ya,Bulanan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.09333333333333334
36-40,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Mingguan,Layanan SEO,NA,NA,Sribu,Sribu,1,1,0.8533333333333334
31-35,Upper,Sulawesi Tengah,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.8133333333333334
31-35,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Mingguan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.8566666666666667
31-35,Middle,Sulawesi Tengah,Perempuan,Pemilik usaha/Wiraswasta,Ya,Kuliner,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Sribu,1,1,0.7433333333333333
36-40,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Kuliner,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.056666666666666664
31-35,Middle,DI Yogyakarta,Perempuan,Pemilik usaha/Wiraswasta,Ya,Non-profit,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.12
36-40,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Bulanan,Penulisan konten,NA,NA,Project.co.id,Other,0,0,0.10666666666666667
36-40,Upper,DI Yogyakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Tidak,Ya,Lebih dari 100,Ya,Mingguan,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.13666666666666666
31-35,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.9466666666666667
41-45,Upper,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.13333333333333333
36-40,Middle,Jawa Tengah,Perempuan,Tenaga lepas (freelancer),Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Bulanan,Manajemen media sosial,NA,NA,Fiverr,Other,0,0,0.12333333333333334
36-40,Middle,DKI Jakarta,Laki-Laki,Bekerja paruh waktu,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7966666666666666
41-45,Middle,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Mingguan,Layanan SEO,NA,NA,Sribu,Sribu,1,1,0.8833333333333333
36-40,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Ya,Bulanan,Pengembangan website,NA,NA,Fastwork,Other,0,0,0.18666666666666668
31-35,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.056666666666666664
31-35,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tidak menentu,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.23
31-35,Upper,Jawa Tengah,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp75.000.000 - Rp150.000.000,Ya,Ya,6-10,Ya,Harian,Desain logo,NA,NA,Fastwork,Other,0,0,0.07
31-35,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Triwulanan,Penulisan konten,NA,NA,Project.co.id,Other,0,0,0.09333333333333334
31-35,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Bulanan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.2833333333333333
36-40,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Ya,Harian,Desain logo,NA,NA,Project.co.id,Other,0,0,0.04666666666666667
31-35,Upper,Jawa Barat,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,6-10,Ya,Harian,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.19
25-30,Lower,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.03
25-30,Upper,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Mingguan,Pengembangan website,NA,NA,Fastwork,Other,0,0,0.11666666666666667
31-35,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.9
41-45,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Other,Lebih dari Rp15 miliar,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.06666666666666667
31-35,Lower,DI Yogyakarta,Perempuan,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7133333333333334
31-35,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Tidak,Ya,6-10,Ya,Bulanan,Penulisan konten,NA,NA,Upwork,Other,0,0,0.14
36-40,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Rekomendasi dari teman atau kolega,N/A,Sribu,1,1,0.8233333333333334
36-40,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.02
41-45,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Tidak,Tidak,6-10,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.05333333333333334
31-35,Upper,Jawa Barat,Perempuan,Bekerja paruh waktu,Ya,Fashion,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Dukungan dari platform freelancer,N/A,Other,0,0,0.07
41-45,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,6-10,Ya,Tidak menentu,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7866666666666666
31-35,Upper,Jawa Tengah,Perempuan,Pemilik usaha/Wiraswasta,Ya,Other,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.06666666666666667
25-30,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.016666666666666666
25-30,Middle,DKI Jakarta,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Harian,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.09333333333333334
31-35,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.023333333333333334
31-35,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Ya,Tahunan,Manajemen media sosial,NA,NA,Other,Other,0,0,0.16
25-30,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.016666666666666666
31-35,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp75.000.000 - Rp150.000.000,Tidak,Tidak,6-10,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.10333333333333333
36-40,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.02
