Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Platform freelancer,Platform freelancer1,Prediction,Probability
31-35,Middle,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Sribu,1,1,0.6566666666666666
36-40,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Mingguan,Layanan SEO,NA,NA,Sribu,Sribu,1,1,0.9733333333333334
41-45,Upper,Jawa Timur,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Harian,Pengembangan website,NA,NA,Fastwork,Other,0,0,0.07666666666666666
31-35,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Ya,Tidak menentu,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.18
25-30,Lower,DKI Jakarta,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Jaminan kualitas pekerjaan,N/A,Sribu,1,1,0.8666666666666667
25-30,Upper,Jawa Barat,Laki-Laki,Mahasiswa/pelajar,Ya,Manufaktur,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Tidak,Ya,11-20,Ya,Mingguan,Desain logo,NA,NA,Fastwork,Other,0,0,0.20333333333333334
36-40,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Tidak menentu,Desain logo,NA,NA,Sribu,Sribu,1,1,0.9466666666666667
25-30,Middle,Sumatera Selatan,Laki-Laki,Mahasiswa/pelajar,Ya,Non-profit,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Ya,Harian,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.12666666666666668
25-30,Middle,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tidak menentu,Manajemen media sosial,NA,NA,Other,Other,0,0,0.08333333333333333
31-35,Middle,DKI Jakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.03666666666666667
25-30,Lower,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Ya,Ya,6-10,Ya,Tidak menentu,Penulisan konten,NA,NA,Other,Other,0,0,0.09
41-45,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Rp7.5 miliar - Rp15 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,21-50,Ya,Mingguan,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.8766666666666667
25-30,Middle,Jawa Barat,Laki-Laki,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Ya,Ya,11-20,Ya,Mingguan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.16666666666666666
31-35,Upper,Jawa Barat,Perempuan,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Ya,Ya,11-20,Ya,Harian,Penulisan konten,NA,NA,Upwork,Other,0,0,0.12
25-30,Lower,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.08666666666666667
25-30,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Triwulanan,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.7466666666666667
31-35,Upper,Lampung,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.11333333333333333
25-30,Middle,Jawa Tengah,Perempuan,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Ya,Tidak menentu,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.74
41-45,Middle,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,Other,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tidak menentu,Desain logo,NA,NA,Fastwork,Other,0,0,0.07
25-30,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Harian,Desain logo,NA,NA,Project.co.id,Other,0,0,0.13333333333333333
36-40,Upper,Sumatera Selatan,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,N/A,Tidak ada,0,0,0.05
36-40,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.13333333333333333
36-40,Middle,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Ya,Bulanan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.15666666666666668
41-45,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp75.000.000 - Rp150.000.000,Tidak,Ya,6-10,Ya,Triwulanan,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.7433333333333333
36-40,Middle,Jawa Timur,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Harian,Pengembangan website,NA,NA,Fastwork,Other,0,0,0.08
25-30,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,6-10,Ya,Bulanan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.22666666666666666
41-45,Upper,Jawa Tengah,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,21-50,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Dukungan dari platform freelancer,N/A,Other,0,0,0.09666666666666666
31-35,Upper,Jawa Timur,Perempuan,Bekerja paruh waktu,Ya,Fashion,Rp7.5 miliar - Rp15 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.08333333333333333
25-30,Upper,Sumatera Barat,Laki-Laki,Tenaga lepas (freelancer),Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Harian,Penulisan konten,NA,NA,Fiverr,Other,0,0,0.09
36-40,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.11333333333333333
31-35,Middle,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,Kurang dari 5,Ya,Tidak menentu,Desain logo,NA,NA,Project.co.id,Other,0,0,0.11
36-40,Middle,Jawa Timur,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Tidak,NA,NA,Biaya terlalu tinggi,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.08333333333333333
41-45,Lower,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.07666666666666666
25-30,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Ya,Ya,11-20,Ya,Bulanan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.18333333333333332
31-35,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.11666666666666667
25-30,Lower,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Ya,Bulanan,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.8233333333333334
25-30,Middle,Riau,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.7633333333333333
36-40,Upper,Jawa Tengah,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Bisa kelola sendiri,N/A,Sribu,1,1,0.76
25-30,Middle,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Tidak,NA,NA,Biaya terlalu tinggi,Jaminan kualitas pekerjaan,N/A,Sribu,1,1,0.83
31-35,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Mingguan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.2833333333333333
25-30,Upper,DKI Jakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.10333333333333333
31-35,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Ya,Mingguan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.11666666666666667
31-35,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Ya,Bulanan,Penulisan konten,NA,NA,Fiverr,Other,0,0,0.16333333333333333
41-45,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,51-100,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.03666666666666667
36-40,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tidak menentu,Desain logo,NA,NA,Sribu,Sribu,1,1,0.8033333333333333
41-45,Upper,Jawa Tengah,Laki-Laki,Mahasiswa/pelajar,Tidak,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.07333333333333333
41-45,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Harian,Desain logo,NA,NA,Project.co.id,Other,0,0,0.06333333333333334
25-30,Upper,Jawa Tengah,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,51-100,Ya,Bulanan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.19666666666666666
25-30,Upper,DI Yogyakarta,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Tidak,Ya,21-50,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.8
25-30,Upper,Bali,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.9266666666666666
25-30,Middle,Jawa Tengah,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Harian,Manajemen media sosial,NA,NA,Fiverr,Other,0,0,0.13
41-45,Middle,Jawa Tengah,Laki-Laki,Tenaga lepas (freelancer),Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.09
25-30,Upper,DKI Jakarta,Laki-Laki,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7366666666666667
31-35,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.8
31-35,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp75.000.000 - Rp150.000.000,Ya,Ya,11-20,Ya,Harian,Desain logo,NA,NA,Fiverr,Other,0,0,0.07333333333333333
36-40,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Lebih dari Rp15 miliar,Rp15.000.000 - Rp75.000.000,Tidak,Ya,51-100,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.94
25-30,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Tidak,Ya,6-10,Tidak,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,N/A,Sribu,1,1,0.8566666666666667
25-30,Middle,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Harian,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.06
31-35,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Ya,Ya,Kurang dari 5,Ya,Tidak menentu,Lainnya,NA,NA,Upwork,Other,0,0,0.08
31-35,Middle,DKI Jakarta,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.07
31-35,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.14666666666666667
31-35,Middle,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,6-10,Ya,Harian,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.05
31-35,Upper,Kalimantan Selatan,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,51-100,Ya,Tidak menentu,Desain logo,NA,NA,Other,Other,0,0,0.056666666666666664
36-40,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Harian,Pengembangan website,NA,NA,Fastwork,Other,0,0,0.10666666666666667
25-30,Middle,Riau,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Tidak menentu,Layanan SEO,NA,NA,Upwork,Other,0,0,0.12
36-40,Middle,Kepulauan Riau,Laki-Laki,Bekerja penuh waktu,Tidak,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7066666666666667
31-35,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.06
36-40,Upper,DKI Jakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Ya,Harian,Desain logo,NA,NA,Project.co.id,Other,0,0,0.12666666666666668
31-35,Upper,Riau,Perempuan,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.6966666666666667
25-30,Middle,Kalimantan Timur,Laki-Laki,Mahasiswa/pelajar,Ya,Manufaktur,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,21-50,Ya,Bulanan,Desain logo,NA,NA,Fastwork,Other,0,0,0.10333333333333333
31-35,Upper,DKI Jakarta,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Ya,Tidak menentu,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.17333333333333334
31-35,Upper,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Ya,Ya,11-20,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.8233333333333334
25-30,Middle,Jawa Timur,Perempuan,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tidak menentu,Lainnya,NA,NA,Upwork,Other,0,0,0.03
25-30,Middle,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Triwulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.77
36-40,Upper,DKI Jakarta,Perempuan,Tenaga lepas (freelancer),Ya,Kuliner,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Ya,Ya,11-20,Ya,Tidak menentu,Lainnya,NA,NA,Project.co.id,Other,0,0,0.06666666666666667
25-30,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Mingguan,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.28
36-40,Middle,DKI Jakarta,Laki-Laki,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,11-20,Ya,Harian,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.09666666666666666
36-40,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,N/A,Other,0,0,0.07333333333333333
25-30,Middle,Nusa Tenggara Timur,Perempuan,Bekerja penuh waktu,Ya,Other,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Harian,Lainnya,NA,NA,Fastwork,Other,0,0,0.09
25-30,Upper,Kalimantan Selatan,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak yakin bagaimana mengelola freelancer,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Tidak ada,0,0,0.06
25-30,Lower,Jawa Timur,Perempuan,Bekerja penuh waktu,Tidak,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Triwulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.8866666666666667
